pair,side,open_ts,close_ts,entry_price,exit_price,lots,realized_pnl_usd,holding_bars,partial_exit_events,close_reason,entry_trade_prob,exit_action_selected,reversal_failure_prob,reversal_opportunity_prob,entry_session_bucket,entry_scenario_bucket,entry_regime_bucket,entry_uncertainty_score,entry_structure_timing_score,pair_tier,playbook,sleeve,environment_state_at_entry,environment_state_at_exit,lifecycle_exit_reason,thesis_id,campaign_seq,campaign_entry_kind,campaign_state,campaign_state_reason,campaign_proof_score,campaign_maturity_score,campaign_reset_quality,campaign_priority_boost,allocator_score,replacement_value,sleeve_health_score,sleeve_health_state,aggressive_fallback_used,entry_uncertainty_bucket
CHFJPY,long,2026-02-16 00:00:00+00:00,2026-02-16 00:35:00+00:00,198.917972825,199.104022275,0.4,28.974534580798597,7,6,exit_model_reduce_to_flat,0.8180607352157698,partial_tp,0.6067055393586004,0.6067055393586004,asia,asia_low_liquidity,range,0.21432600286559939,0.4631883471751048,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.294866123268656,0.06817592876577212,0.22806898218025967,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCAD,long,2026-02-16 00:25:00+00:00,2026-02-16 01:00:00+00:00,1.6153003814999998,1.6149396255,0.4,-5.853899096424089,7,6,exit_model_reduce_to_flat,0.7898215465961663,partial_tp,0.5906724271629555,0.5906724271629555,asia,asia_low_liquidity,range,0.3128704692043811,0.5074647709159633,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,EURCAD:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.09629633768932748,0.0,0.2962963376893275,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
CHFJPY,long,2026-02-16 00:40:00+00:00,2026-02-16 01:15:00+00:00,199.1209779,199.06202332499998,0.4,6.4264221736520595,7,6,exit_model_reduce_to_flat,0.7329302987197722,partial_tp,0.6163588390501319,0.6163588390501319,asia,asia_low_liquidity,range,0.25250114941662627,0.36762438916993173,tier2,no_trade,no_trade,BalancedRange,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.00516464446753695,0.028875250465515815,0.18591447749052642,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-02-16 01:20:00+00:00,2026-02-16 01:55:00+00:00,199.105977525,199.14102135,0.4,-15.634808332323825,7,6,exit_model_reduce_to_flat,0.7452282157676348,partial_tp,0.6364117771658548,0.6364117771658548,asia,asia_low_liquidity,range,0.2400278197013312,0.49299708321450647,tier2,no_trade,no_trade,BalancedRange,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.2935732551437465,0.0553210108795313,0.2197587650089696,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
USDJPY,long,2026-02-16 01:15:00+00:00,2026-02-16 01:55:00+00:00,153.02382550000002,153.017174475,0.4,-1.7385800734599997,8,0,reversal_models_exit,0.7086053412462908,class_4,0.6879379752497392,0.6879379752497392,asia,breakout_initiation,vol_expansion,0.2806782784943203,0.35904799364606077,tier1,no_trade,no_trade,PersistentTrend,,reversal_models_exit,USDJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.8053455088779623,0.0,0.8649421335994488,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
GBPJPY,long,2026-02-16 01:50:00+00:00,2026-02-16 02:25:00+00:00,208.77721929999998,208.82277929999998,0.4,0.7537973499902504,7,6,exit_model_reduce_to_flat,0.6806629834254143,partial_tp,0.7155575847505994,0.7155575847505994,asia,trend_continuation,trend,0.26363241195272014,0.4597254714876115,tier2,no_trade,no_trade,CompressionPreBreakout,,exit_model_reduce_to_flat,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.6681492148253181,0.06,0.7512711453246345,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-02-16 02:00:00+00:00,2026-02-16 02:35:00+00:00,199.23098065,199.15902089999997,0.4,-21.00770287810398,7,6,exit_model_reduce_to_flat,0.670383275261324,partial_tp,0.7201116119338915,0.7201116119338915,asia,trend_continuation,trend,0.31488882676208774,0.4899745385535224,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.0,0.05555628829251076,0.16296247447165949,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
USDJPY,long,2026-02-16 02:50:00+00:00,2026-02-16 02:55:00+00:00,153.00382499999998,153.00517477499997,0.4,0.35285813718515385,1,0,reversal_models_exit,0.7382331643736423,class_4,0.6880290205562273,0.6880290205562273,asia,trend_continuation,trend,0.41170937341361113,0.26323730345580604,tier1,no_trade,no_trade,CompressionPreBreakout,,reversal_models_exit,USDJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.262697277071015,0.0,0.2266159142171663,0.0,0.0,0.0,0.5,healthy,False,0.40_0.50
CHFJPY,long,2026-02-16 02:40:00+00:00,2026-02-16 03:15:00+00:00,199.183979475,199.20901965,0.4,-12.052718249947901,7,6,exit_model_reduce_to_flat,0.8180607352157698,partial_tp,0.7431863910737149,0.7431863910737149,asia,asia_low_liquidity,range,0.16799620460226772,0.40833678006858615,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,CHFJPY:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.24374498211421305,0.06106862666671479,0.20982029678964725,0.0,0.0,0.0,0.5,healthy,False,0.10_0.20
EURCAD,long,2026-02-16 02:50:00+00:00,2026-02-16 03:25:00+00:00,1.6154403849999999,1.615199619,0.4,-9.417243954182444,7,6,exit_model_reduce_to_flat,0.6066056245912361,partial_tp,0.6417767106842737,0.6417767106842737,asia,asia_low_liquidity,range,0.4034979531509811,0.5905369047851691,tier2,no_trade,no_trade,BalancedRange,,exit_model_reduce_to_flat,EURCAD:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.538106944726854,0.0,0.6245919366209542,0.0,0.0,0.0,0.5,healthy,False,0.40_0.50
