pair,ts,allowed,rejection_reason,side,expected_edge_bps,spread_bps,regime_prob,swing_prob,entry_prob,trade_prob,policy_version,edge_formula_id,threshold_snapshot,spread_unit_source,spread_conversion_method
EURUSD,2026-03-20 03:05:00+00:00,False,low_entry_prob,long,26.439622317595788,0.34596689066772707,1.0,1.0,0.5376676986584105,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6782860805988733, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:10:00+00:00,False,low_entry_prob,long,24.07652709120531,0.25951220333666314,1.0,1.0,0.6183818473527388,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6960413562167859, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:15:00+00:00,False,low_entry_prob,long,21.751420944587508,0.43251659745121296,1.0,1.0,0.5617378048780485,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6835738419919374, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:20:00+00:00,False,low_entry_prob,long,21.57972194823626,0.25951669318658666,1.0,1.0,0.5617378048780485,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6835730823361283, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:25:00+00:00,False,low_entry_prob,long,20.890252779921546,0.25951220333666314,1.0,1.0,0.5617378048780485,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6835692816734446, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:30:00+00:00,False,low_entry_prob,long,19.38444666308284,0.173025348063037,1.0,1.0,0.5522388059701493,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6814648651943791, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:35:00+00:00,False,low_entry_prob,long,18.868820660825143,0.3460776422180998,1.0,1.0,0.6074676878889421,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6936070838489272, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:40:00+00:00,False,low_entry_prob,long,18.740176504188366,0.1730448098049486,1.0,1.0,0.5376676986584105,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6782487082268921, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:45:00+00:00,False,low_trade_prob,long,18.740095584211645,0.2595660917932982,1.0,1.0,0.6502828854314002,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.7030240477725246, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:50:00+00:00,False,low_entry_prob,long,17.74894951460505,0.17304630704129187,1.0,1.0,0.6183818473527388,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.6959813401160274, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 03:55:00+00:00,False,low_trade_prob,long,18.69861119092544,0.4326475865327078,1.0,1.0,0.6866666666666666,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.7110276796017294, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 04:00:00+00:00,True,none,long,19.42988400840318,0.346092614084505,1.0,1.0,0.6502828854314002,1.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.9230351840939828, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 04:05:00+00:00,False,low_trade_prob,long,18.050619448850355,0.25956833762934206,1.0,1.0,0.6502828854314002,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.7030083376975411, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
EURUSD,2026-03-20 04:10:00+00:00,False,low_trade_prob,long,17.791826972070876,0.2595660917932982,1.0,1.0,0.6502828854314002,0.0,fxstack_policy_v1,prob_weighted_opportunity_v2,"{'min_swing_prob': 0.58, 'min_entry_prob': 0.62, 'min_trade_prob': 0.6, 'max_spread_bps': 3.0, 'min_expected_edge_bps': 3.0, 'min_expected_edge_rescue_margin_bps': 0.5, 'directional_swing_confidence': 1.0, 'model_intelligence_score': 0.7030008968649292, 'model_intelligence_min': 0.59}",row.spread_bps,row.spread_bps
