pair,side,open_ts,close_ts,entry_price,exit_price,lots,realized_pnl_usd,holding_bars,partial_exit_events,close_reason,entry_trade_prob,exit_action_selected,reversal_failure_prob,reversal_opportunity_prob,entry_session_bucket,entry_scenario_bucket,entry_regime_bucket,entry_uncertainty_score,entry_structure_timing_score,pair_tier,playbook,sleeve,environment_state_at_entry,environment_state_at_exit,lifecycle_exit_reason,thesis_id,campaign_seq,campaign_entry_kind,campaign_state,campaign_state_reason,campaign_proof_score,campaign_maturity_score,campaign_reset_quality,campaign_priority_boost,allocator_score,replacement_value,sleeve_health_score,sleeve_health_state,aggressive_fallback_used,entry_uncertainty_bucket
EURCHF,long,2026-03-24 08:30:00+00:00,2026-03-24 09:05:00+00:00,0.91229280675,0.9119771999999999,0.39,-3.480845127591994,7,6,exit_model_reduce_to_flat,0.8516483516483516,partial_tp,0.6608968018463568,0.6608968018463568,london_open,breakout_initiation,vol_expansion,0.19274415641771248,0.6160593269363043,tier2,trend_pullback,trend_pullback,CorrectiveTrend,,exit_model_reduce_to_flat,EURCHF:long:trend_pullback,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.1974861361852323,0.0,0.2,0.0,0.0,0.0,0.5,healthy,False,0.10_0.20
EURCHF,long,2026-03-24 09:10:00+00:00,2026-03-24 09:45:00+00:00,0.9120027995,0.9120171989999999,0.39,-7.061116411177811,7,6,exit_model_reduce_to_flat,0.8014664410603497,partial_tp,0.6341365461847389,0.6341365461847389,london_open,london_open,range,0.26082590018011753,0.558815415184853,tier2,no_trade,no_trade,CorrectiveTrend,,exit_model_reduce_to_flat,EURCHF:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.5284652722116668,0.0,0.5886740729782628,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCHF,long,2026-03-24 09:50:00+00:00,2026-03-24 10:25:00+00:00,0.9121228025,0.9123971894999999,0.39,-5.579914176914871,7,6,exit_model_reduce_to_flat,0.7498154981549815,partial_tp,0.6736715700990693,0.6736715700990693,london_open,london_open,range,0.20013543287016103,0.5911516714952667,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,EURCHF:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.25984392189058847,0.008680506423570503,0.24524643920504632,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCAD,long,2026-03-24 10:10:00+00:00,2026-03-24 10:45:00+00:00,1.59274981775,1.5914302132499998,0.39,-28.591350533733912,7,6,exit_model_reduce_to_flat,0.6398815817297527,partial_tp,0.8891941391941391,0.8891941391941391,london_open,london_open,range,0.35233660241032067,0.5486579277402355,tier2,no_trade,no_trade,CorrectiveTrend,,exit_model_reduce_to_flat,EURCAD:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.6226808071726205,0.0,0.6974055931321324,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
GBPJPY,long,2026-03-24 10:25:00+00:00,2026-03-24 11:00:00+00:00,212.638315825,212.69768242499998,0.39,2.226875382137013,7,6,exit_model_reduce_to_flat,0.785350966429298,partial_tp,0.7155575847505994,0.7155575847505994,london_open,london_open,range,0.2643666946808464,0.5967434755570237,tier2,no_trade,no_trade,CorrectiveTrend,,exit_model_reduce_to_flat,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.2521716656418496,0.0,0.22691927493936337,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCAD,long,2026-03-24 10:50:00+00:00,2026-03-24 11:25:00+00:00,1.5918197944999999,1.59285017775,0.39,1.416473616160674,7,6,exit_model_reduce_to_flat,0.7510245901639344,partial_tp,0.8891941391941391,0.8891941391941391,london_open,london_open,range,0.21126226794559755,0.6099725162365598,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,EURCAD:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.06774789415963138,0.007202328976857541,0.262946341508393,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-03-24 11:00:00+00:00,2026-03-24 11:35:00+00:00,201.496037275,201.53396152499997,0.39,10.406406921352422,7,6,exit_model_reduce_to_flat,0.6714490674318508,partial_tp,0.659683426443203,0.659683426443203,london_open,london_open,range,0.2833043659006249,0.5338896995602802,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.019992203394832403,0.0,0.21999220339483241,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCHF,long,2026-03-24 11:30:00+00:00,2026-03-24 12:05:00+00:00,0.91267281625,0.91270718175,0.39,-1.5497838192740183,7,6,exit_model_reduce_to_flat,0.685656836461126,partial_tp,0.6842386464826354,0.6842386464826354,london_open,london_open,range,0.2819037295231026,0.6733307983923909,tier2,no_trade,no_trade,BalancedRange,,exit_model_reduce_to_flat,EURCHF:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.26461989691920623,0.004917746738924054,0.26648497715397085,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-03-24 11:50:00+00:00,2026-03-24 12:25:00+00:00,201.518037825,201.335966475,0.39,7.772685364663467,7,6,exit_model_reduce_to_flat,0.8180607352157698,partial_tp,0.6837157246782316,0.6837157246782316,london_open,london_open,range,0.26884779907682166,0.4759864611395844,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,CHFJPY:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.6304261415229973,0.0,0.7109436541470329,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
GBPJPY,long,2026-03-24 11:50:00+00:00,2026-03-24 12:25:00+00:00,212.69931734999997,212.7026823,0.39,-13.372593971561116,7,6,exit_model_reduce_to_flat,0.785350966429298,partial_tp,0.6876430205949656,0.6876430205949656,london_open,london_open,range,0.27475014054382624,0.6507235370944668,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.7688645576148305,0.0,0.8176423527755773,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURUSD,long,2026-03-24 12:30:00+00:00,2026-03-24 12:35:00+00:00,1.1585289625,1.158211044,0.39,-12.39882149999838,1,0,reversal_models_exit,0.6676889002470398,class_4,0.7507897507897507,0.7507897507897507,london_ny_overlap,london_open,range,0.39587362430482603,0.49175238002275434,tier1,range_mean_reversion,range_mean_reversion,BalancedRange,,reversal_models_exit,EURUSD:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.09164132051056016,0.021669082111732005,0.2771952657694055,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
CHFJPY,long,2026-03-24 12:30:00+00:00,2026-03-24 13:05:00+00:00,201.27003162499997,201.073973025,0.39,-20.588921683439107,7,6,exit_model_reduce_to_flat,0.7452282157676348,partial_tp,0.7201116119338915,0.7201116119338915,london_ny_overlap,trend_continuation,trend,0.3410217089882123,0.5753966923276882,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.0,0.0,0.2,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
GBPJPY,long,2026-03-24 13:00:00+00:00,2026-03-24 13:40:00+00:00,212.64631602499998,212.4386889,0.39,-37.959014413076645,8,6,exit_model_reduce_to_flat,0.7527527527527528,partial_tp,0.7145320197044335,0.7145320197044335,london_ny_overlap,ny_overlap,range,0.27163618036941944,0.6002273051798893,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.4858704420462781,0.0,0.5539382333841308,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-03-24 13:15:00+00:00,2026-03-24 13:50:00+00:00,201.132028175,200.751981075,0.38,-37.34138896089755,7,6,exit_model_reduce_to_flat,0.6161879895561357,partial_tp,0.5310679611650485,0.5310679611650485,london_ny_overlap,ny_overlap,range,0.44679702263536447,0.5125674952572232,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,CHFJPY:long:range_mean_reversion,2,fresh_probe,inactive,campaign_disabled_for_sleeve,0.06930204616982041,0.0,0.26930204616982045,0.0,0.0,0.0,0.5,healthy,False,0.40_0.50
GBPJPY,long,2026-03-24 13:45:00+00:00,2026-03-24 14:20:00+00:00,212.48031187499998,212.621684325,0.39,-0.6535880078485133,7,6,exit_model_reduce_to_flat,0.7397959183673469,partial_tp,0.6540284360189573,0.6540284360189573,london_ny_overlap,ny_overlap,range,0.22250311238257836,0.7104755803897794,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,,exit_model_reduce_to_flat,GBPJPY:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.21570921989133923,0.0,0.2003416716287124,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
CHFJPY,long,2026-03-24 14:55:00+00:00,2026-03-24 15:30:00+00:00,200.796019775,200.681982825,0.39,-32.519893174787164,7,6,exit_model_reduce_to_flat,0.6788990825688074,partial_tp,0.6364117771658548,0.6364117771658548,london_ny_overlap,trend_continuation,trend,0.36704702781722015,0.5705968708459345,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.04539013194316166,0.0,0.24539013194316167,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
GBPJPY,long,2026-03-24 15:00:00+00:00,2026-03-24 15:35:00+00:00,212.61131515,212.567685675,0.39,-4.451682514523388,7,6,exit_model_reduce_to_flat,0.7963320463320465,partial_tp,0.6697726107026845,0.6697726107026845,london_ny_overlap,ny_overlap,range,0.24606342462213238,0.5965603468632793,tier2,no_trade,no_trade,PersistentTrend,,exit_model_reduce_to_flat,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.5628086050390464,0.0,0.6347094214128035,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCAD,long,2026-03-24 15:55:00+00:00,2026-03-24 16:30:00+00:00,1.5938498452499998,1.595040123,0.39,7.947858132216335,7,6,exit_model_reduce_to_flat,0.6398815817297527,partial_tp,0.6699144959236428,0.6699144959236428,london_ny_overlap,ny_overlap,range,0.30673698570488467,0.7106077045217133,tier2,trend_pullback,trend_pullback,CorrectiveTrend,,exit_model_reduce_to_flat,EURCAD:long:trend_pullback,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.2981067667417433,0.0,0.26593852774242327,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
